                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.2364,                0.67173,                 1.1304,                0.90361,                0.87717,                0.91908,                0.58611,                  1.428,                0.65016,                 1.3073,               0.003268,               0.003268,               0.003268
                     70,                 1.2296,                0.66595,                 1.1299,                0.90609,                0.87253,                0.91888,                0.58522,                 1.4259,                0.64767,                 1.3061,               0.003169,               0.003169,               0.003169
                     71,                 1.2305,                 0.6633,                 1.1295,                0.90535,                0.87506,                0.91743,                0.58423,                 1.4241,                0.64543,                 1.3054,                0.00307,                0.00307,                0.00307
                     72,                 1.2282,                   0.66,                 1.1266,                0.90549,                0.87411,                0.91778,                 0.5861,                 1.4236,                 0.6449,                 1.3051,               0.002971,               0.002971,               0.002971
                     73,                 1.2278,                0.65743,                 1.1274,                0.90519,                 0.8727,                0.91745,                0.58635,                  1.424,                0.64534,                 1.3054,               0.002872,               0.002872,               0.002872
                     74,                 1.2254,                0.65389,                 1.1244,                0.90549,                0.87306,                 0.9179,                0.58508,                 1.4233,                0.64475,                 1.3049,               0.002773,               0.002773,               0.002773
                     75,                 1.2219,                0.65336,                 1.1245,                0.90496,                0.87269,                0.91919,                0.58572,                 1.4241,                0.64426,                 1.3054,               0.002674,               0.002674,               0.002674
                     76,                 1.2161,                0.64503,                 1.1188,                0.90478,                0.87432,                0.91934,                0.58612,                  1.424,                0.64304,                 1.3048,               0.002575,               0.002575,               0.002575
                     77,                 1.2222,                0.65164,                 1.1202,                 0.9029,                0.87384,                0.91919,                0.58616,                 1.4234,                 0.6424,                 1.3042,               0.002476,               0.002476,               0.002476
                     78,                 1.2129,                 0.6449,                 1.1193,                0.90216,                0.87362,                0.91889,                 0.5849,                 1.4232,                0.64392,                 1.3038,               0.002377,               0.002377,               0.002377
                     79,                  1.212,                0.63919,                 1.1162,                0.90271,                0.87435,                 0.9197,                0.58528,                 1.4231,                 0.6445,                 1.3045,               0.002278,               0.002278,               0.002278
                     80,                 1.2198,                0.63997,                 1.1188,                0.90054,                0.87419,                 0.9196,                0.58602,                 1.4238,                0.64547,                  1.305,               0.002179,               0.002179,               0.002179
                     81,                 1.2118,                0.63757,                 1.1159,                0.90271,                0.87442,                0.91969,                0.58672,                 1.4237,                0.64462,                 1.3052,                0.00208,                0.00208,                0.00208
                     82,                 1.2073,                0.63063,                 1.1143,                0.90173,                0.87493,                0.91967,                0.58709,                 1.4237,                0.64476,                 1.3051,               0.001981,               0.001981,               0.001981
                     83,                 1.1954,                0.62524,                  1.107,                0.90543,                0.87251,                0.91926,                0.58728,                 1.4235,                0.64584,                 1.3046,               0.001882,               0.001882,               0.001882
                     84,                 1.2018,                0.62764,                  1.111,                 0.9038,                0.87747,                0.92089,                0.58784,                 1.4235,                0.64603,                 1.3041,               0.001783,               0.001783,               0.001783
                     85,                 1.1991,                0.62219,                 1.1063,                0.90233,                0.87933,                0.92104,                0.58852,                 1.4236,                0.64647,                 1.3041,               0.001684,               0.001684,               0.001684
                     86,                 1.1904,                0.61871,                 1.1088,                0.90253,                 0.8795,                0.92108,                0.58893,                 1.4234,                0.64674,                 1.3045,               0.001585,               0.001585,               0.001585
                     87,                  1.193,                0.62126,                 1.1071,                0.90508,                0.88046,                0.92119,                0.58915,                 1.4235,                0.64684,                 1.3049,               0.001486,               0.001486,               0.001486
